metro_area,total,with_internet_subscription,dial_up_with_no_other_internet_subscription,broadband_of_any_type,cellular_data_plan,cellular_data_plan_only,broadband_cable_fiber_or_dsl,broadband_cable_fiber_or_dsl_only,satellite_internet_service,satellite_internet_service_only,other_service_only,internet_access_without_subscription,no_internet_access,metro_area_id,year
"Breckenridge, CO Micro Area",10641,8943,61,8882,6892,631,7719,1627,696,289,0,619,1079,14720,2019
"Bremerton-Silverdale-Port Orchard, WA Metro Area",103913,95289,337,94952,80582,6672,85430,13240,5213,364,26,1693,6931,14740,2019
"Brenham, TX Micro Area",12625,9321,35,9286,7489,2396,5210,1400,1726,217,132,240,3064,14780,2019
"Brevard, NC Micro Area",14567,11825,52,11773,9365,777,10502,2148,670,103,12,359,2383,14820,2019
"Bridgeport-Stamford-Norwalk, CT Metro Area",340189,302161,962,301199,240423,21949,274487,57217,10657,924,454,7370,30658,14860,2019
"Brookhaven, MS Micro Area",12699,7916,23,7893,6558,2348,4197,756,1889,316,33,802,3981,15020,2019
"Brookings, OR Micro Area",10546,8197,78,8119,6027,1256,6263,1761,745,230,67,568,1781,15060,2019
"Brookings, SD Micro Area",12896,10787,66,10721,7247,1093,9257,3223,591,12,64,576,1533,15100,2019
"Brownsville, TN Micro Area",7181,4384,29,4355,3610,1181,2439,522,924,141,7,247,2550,15140,2019
"Brownsville-Harlingen, TX Metro Area",124605,71929,296,71633,53573,17766,49424,15780,7259,1240,123,15503,37173,15180,2019
"Brownwood, TX Micro Area",14409,10956,27,10929,7883,2988,6251,2208,2042,578,38,498,2955,15220,2019
"Brunswick, GA Metro Area",46984,35565,101,35464,27146,4150,29852,7667,2922,407,68,2052,9367,15260,2019
"Bucyrus-Galion, OH Micro Area",17782,14048,148,13900,10140,1622,11062,3226,1359,323,20,577,3157,15340,2019
"Buffalo-Cheektowaga, NY Metro Area",478104,388675,1849,386826,293504,47316,330499,84815,18578,2251,595,14401,75028,15380,2019
"Burley, ID Micro Area",14961,12553,75,12478,10168,2692,7965,1621,2223,596,4,265,2143,15420,2019
"Burlington, IA-IL Micro Area",19868,15678,84,15594,11919,2269,12316,3230,1394,268,14,387,3803,15460,2019
