metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,long_distance_train_or_commuter_rail,light_rail_streetcar_or_trolley,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home,other_aggregate,worked_from_home_extended,metro_area_id,year
"Borger, TX Micro Area",8705,8346,7275,1071,769,180,122,30,30,0,0,0,0,0,77,29,223,14420,2019
"Boston-Cambridge-Newton, MA-NH Metro Area",2578101,1896543,1711657,184886,144097,24155,16634,344950,105319,172123,57707,6600,3201,27153,139308,34408,135739,14460,2019
"Boulder, CO Metro Area",172617,124697,112237,12460,9941,1507,1012,8423,8174,42,0,112,95,7217,8564,1597,22119,14500,2019
"Bowling Green, KY Metro Area",79952,73957,65306,8651,6548,1099,1004,155,155,0,0,0,0,165,2311,870,2494,14540,2019
"Bozeman, MT Micro Area",60638,49724,43993,5731,4368,628,735,283,283,0,0,0,0,1548,3583,560,4940,14580,2019
"Bradford, PA Micro Area",17961,16477,14497,1980,1578,279,123,150,150,0,0,0,0,29,590,43,672,14620,2019
"Brainerd, MN Micro Area",42905,38384,34597,3787,2833,532,422,169,156,3,3,2,5,198,1019,371,2764,14660,2019
"Branson, MO Micro Area",24748,22160,18475,3685,2847,645,193,132,127,0,0,0,5,0,414,219,1823,14700,2019
"Breckenridge, CO Micro Area",19271,15287,14766,521,195,273,53,824,824,0,0,0,0,73,1021,85,1981,14720,2019
"Bremerton-Silverdale-Port Orchard, WA Metro Area",127515,97293,88104,9189,7355,1149,685,11808,3869,62,39,9,7829,755,6934,2652,8073,14740,2019
"Brenham, TX Micro Area",15294,14192,12910,1282,981,211,90,1,1,0,0,0,0,31,171,238,661,14780,2019
"Brevard, NC Micro Area",13556,11940,11057,883,772,81,30,24,24,0,0,0,0,145,358,40,1049,14820,2019
"Bridgeport-Stamford-Norwalk, CT Metro Area",468064,375988,337947,38041,28763,6004,3274,47049,10730,1456,34517,299,47,706,11596,4448,28277,14860,2019
"Brookhaven, MS Micro Area",13136,12571,11994,577,377,120,80,90,17,0,0,0,73,0,91,111,273,15020,2019
