metro_area,total,in_labor_force,civilian_labor_force,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,metro_area_id,year
"Brookings, SD Micro Area",28284,20224,20194,19445,749,30,8060,15100,2019
"Brownsville, TN Micro Area",14128,7865,7861,7328,533,4,6263,15140,2019
"Brownsville-Harlingen, TX Metro Area",307002,171180,171010,161127,9883,170,135822,15180,2019
"Brownwood, TX Micro Area",30638,17090,17082,16369,713,8,13548,15220,2019
"Brunswick, GA Metro Area",94808,54837,54688,51875,2813,149,39971,15260,2019
"Bucyrus-Galion, OH Micro Area",33706,19768,19716,18664,1052,52,13938,15340,2019
"Buffalo-Cheektowaga, NY Metro Area",928277,578840,577981,552432,25549,859,349437,15380,2019
"Burley, ID Micro Area",32385,20374,20349,19688,661,25,12011,15420,2019
"Burlington, IA-IL Micro Area",37244,23589,23575,22339,1236,14,13655,15460,2019
"Burlington, NC Metro Area",130926,82112,82009,77665,4344,103,48814,15500,2019
"Burlington-South Burlington, VT Metro Area",182680,126145,125745,121284,4461,400,56535,15540,2019
"Butte-Silver Bow, MT Micro Area",28582,16836,16810,16043,767,26,11746,15580,2019
"Cadillac, MI Micro Area",38219,21710,21692,20333,1359,18,16509,15620,2019
"Calhoun, GA Micro Area",45071,27183,27166,26262,904,17,17888,15660,2019
"California-Lexington Park, MD Metro Area",88083,58909,57084,55220,1864,1825,29174,15680,2019
"Cambridge, MD Micro Area",26138,16165,16155,14860,1295,10,9973,15700,2019
"Cambridge, OH Micro Area",31460,17809,17773,16732,1041,36,13651,15740,2019
"Camden, AR Micro Area",23325,12497,12497,11598,899,0,10828,15780,2019
"Campbellsville, KY Micro Area",29343,16444,16430,15645,785,14,12899,15820,2019
"Cañon City, CO Micro Area",40764,15191,15160,14327,833,31,25573,15860,2019
"Canton-Massillon, OH Metro Area",323863,201951,201846,190913,10933,105,121912,15940,2019
"Cape Coral-Fort Myers, FL Metro Area",620831,326667,326304,308959,17345,363,294164,15980,2019
"Cheyenne, WY Metro Area",78142,52390,49707,47158,2549,2683,25752,16940,2019
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",7576763,5064631,5052070,4746153,305917,12561,2512132,16980,2019
"Cape Girardeau, MO-IL Metro Area",78324,47707,47570,45387,2183,137,30617,16020,2019
"Carbondale-Marion, IL Metro Area",113097,62021,61892,57635,4257,129,51076,16060,2019
"Carlsbad-Artesia, NM Micro Area",44220,27782,27693,26438,1255,89,16438,16100,2019
"Carroll, IA Micro Area",15834,10869,10849,10628,221,20,4965,16140,2019
"Carson City, NV Metro Area",44940,27089,27077,25705,1372,12,17851,16180,2019
"Casper, WY Metro Area",63098,43051,42958,41101,1857,93,20047,16220,2019
"Cedar City, UT Micro Area",38258,23699,23679,22635,1044,20,14559,16260,2019
"Cedar Rapids, IA Metro Area",214292,147445,147369,142090,5279,76,66847,16300,2019
"Cedartown, GA Micro Area",32451,19172,19159,18213,946,13,13279,16340,2019
"Celina, OH Micro Area",31612,21661,21650,21099,551,11,9951,16380,2019
"Central City, KY Micro Area",25500,12781,12781,11945,836,0,12719,16420,2019
"Centralia, IL Micro Area",29919,17976,17953,16244,1709,23,11943,16460,2019
"Centralia, WA Micro Area",63433,33872,33793,31386,2407,79,29561,16500,2019
"Chambersburg-Waynesboro, PA Metro Area",123885,78105,78033,74289,3744,72,45780,16540,2019
"Champaign-Urbana, IL Metro Area",187993,117187,117076,111474,5602,111,70806,16580,2019
"Charleston, WV Metro Area",216131,112865,112553,105756,6797,312,103266,16620,2019
"Charleston-Mattoon, IL Micro Area",51738,32068,32055,30390,1665,13,19670,16660,2019
"Charleston-North Charleston, SC Metro Area",622087,405306,396267,379582,16685,9039,216781,16700,2019
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2007226,1344673,1343156,1273691,69465,1517,662553,16740,2019
"Charlottesville, VA Metro Area",178051,111664,110967,107414,3553,697,66387,16820,2019
"Chattanooga, TN-GA Metro Area",452316,274373,273787,260407,13380,586,177943,16860,2019
"Chico, CA Metro Area",185581,104685,104557,96095,8462,128,80896,17020,2019
"Chillicothe, OH Micro Area",62382,33152,33089,31060,2029,63,29230,17060,2019
"Cincinnati, OH-KY-IN Metro Area",1740409,1147192,1146401,1094777,51624,791,593217,17140,2019
"Clarksburg, WV Micro Area",76167,42851,42831,40148,2683,20,33316,17220,2019
"Clarksdale, MS Micro Area",17581,9427,9422,8024,1398,5,8154,17260,2019
"Clarksville, TN-KY Metro Area",227831,146448,125596,117001,8595,20852,81383,17300,2019
"Clearlake, CA Micro Area",52349,26657,26631,24304,2327,26,25692,17340,2019
"Cleveland, MS Micro Area",24856,11725,11703,10739,964,22,13131,17380,2019
"Cleveland, TN Metro Area",99120,59645,59554,56348,3206,91,39475,17420,2019
"Cleveland-Elyria, OH Metro Area",1672816,1062531,1062055,995862,66193,476,610285,17460,2019
"Clewiston, FL Micro Area",30996,19161,19161,17749,1412,0,11835,17500,2019
"Clinton, IA Micro Area",37442,23217,23207,22152,1055,10,14225,17540,2019
"Clovis, NM Micro Area",37924,24036,21632,20253,1379,2404,13888,17580,2019
"Coamo, PR Micro Area",32061,12344,12329,11577,752,15,19717,17620,2019
"Coco, PR Micro Area",22817,8433,8374,7928,446,59,14384,17640,2019
"Coeur d'Alene, ID Metro Area",125159,76378,76339,73191,3148,39,48781,17660,2019
"Coffeyville, KS Micro Area",25588,15262,15262,14494,768,0,10326,17700,2019
"Coldwater, MI Micro Area",34683,19550,19550,18727,823,0,15133,17740,2019
"College Station-Bryan, TX Metro Area",210006,127147,126860,121557,5303,287,82859,17780,2019
"Colorado Springs, CO Metro Area",568409,384493,355703,335015,20688,28790,183916,17820,2019
"Columbia, MO Metro Area",167947,110761,110578,105912,4666,183,57186,17860,2019
"Columbia, SC Metro Area",662568,425462,412991,388474,24517,12471,237106,17900,2019
"Columbus, GA-AL Metro Area",251648,150306,137705,126299,11406,12601,101342,17980,2019
"Cullman, AL Micro Area",66350,36078,36063,34228,1835,15,30272,18980,2019
"Columbus, IN Metro Area",65087,41943,41919,40151,1768,24,23144,18020,2019
"Columbus, MS Micro Area",46829,27731,26534,24392,2142,1197,19098,18060,2019
"Columbus, NE Micro Area",25499,17933,17933,17399,534,0,7566,18100,2019
"Columbus, OH Metro Area",1639687,1108584,1107533,1057861,49672,1051,531103,18140,2019
"Concord, NH Micro Area",124603,82999,82800,79851,2949,199,41604,18180,2019
"Connersville, IN Micro Area",18755,10605,10605,10070,535,0,8150,18220,2019
"Cookeville, TN Micro Area",90736,50934,50843,48154,2689,91,39802,18260,2019
"Coos Bay, OR Micro Area",53312,27272,27073,25028,2045,199,26040,18300,2019
"Cordele, GA Micro Area",17758,10232,10232,9049,1183,0,7526,18380,2019
"Corinth, MS Micro Area",29499,16398,16395,15323,1072,3,13101,18420,2019
"Cornelia, GA Micro Area",35919,19364,19343,18747,596,21,16555,18460,2019
"Corning, NY Micro Area",78030,45744,45724,42836,2888,20,32286,18500,2019
"Corpus Christi, TX Metro Area",333331,206903,205121,193590,11531,1782,126428,18580,2019
"Corsicana, TX Micro Area",37608,22745,22738,21085,1653,7,14863,18620,2019
"Cortland, NY Micro Area",39892,24531,24531,23241,1290,0,15361,18660,2019
"Corvallis, OR Metro Area",78079,46629,46553,44026,2527,76,31450,18700,2019
"Coshocton, OH Micro Area",28823,16859,16803,15877,926,56,11964,18740,2019
"Craig, CO Micro Area",10130,6480,6445,6163,282,35,3650,18780,2019
"Crawfordsville, IN Micro Area",30565,19722,19694,18944,750,28,10843,18820,2019
"Crescent City, CA Micro Area",22152,9774,9766,9015,751,8,12378,18860,2019
"Crestview-Fort Walton Beach-Destin, FL Metro Area",219009,136410,126256,119722,6534,10154,82599,18880,2019
"Crossville, TN Micro Area",49975,23006,22995,21750,1245,11,26969,18900,2019
"Decatur, IN Micro Area",25288,16070,16070,15495,575,0,9218,19540,2019
"Defiance, OH Micro Area",30495,19748,19715,18861,854,33,10747,19580,2019
"Del Rio, TX Micro Area",36626,21961,20289,19297,992,1672,14665,19620,2019
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",545944,284142,283880,270091,13789,262,261802,19660,2019
"Deming, NM Micro Area",18265,8619,8606,7587,1019,13,9646,19700,2019
"Denver-Aurora-Lakewood, CO Metro Area",2304612,1644691,1640862,1579864,60998,3829,659921,19740,2019
"DeRidder, LA Micro Area",28948,16018,15680,14342,1338,338,12930,19760,2019
"Des Moines-West Des Moines, IA Metro Area",527722,377860,377299,362688,14611,561,149862,19780,2019
"Detroit-Warren-Dearborn, MI Metro Area",3472315,2171320,2169851,2029443,140408,1469,1300995,19820,2019
"Dickinson, ND Micro Area",24489,16896,16896,16461,435,0,7593,19860,2019
"Dixon, IL Micro Area",28404,16001,15998,15438,560,3,12403,19940,2019
"Dodge City, KS Micro Area",24920,17678,17641,16617,1024,37,7242,19980,2019
"Cullowhee, NC Micro Area",47954,26060,26038,24609,1429,22,21894,19000,2019
"Cumberland, MD-WV Metro Area",83013,42892,42837,39887,2950,55,40121,19060,2019
"Dallas-Fort Worth-Arlington, TX Metro Area",5618156,3864777,3859952,3688773,171179,4825,1753379,19100,2019
"Dalton, GA Metro Area",111291,69110,69108,65205,3903,2,42181,19140,2019
"Danville, IL Metro Area",61185,33495,33475,31285,2190,20,27690,19180,2019
"Danville, KY Micro Area",44145,23629,23629,22290,1339,0,20516,19220,2019
"Danville, VA Micro Area",84241,47247,47094,43877,3217,153,36994,19260,2019
"Daphne-Fairhope-Foley, AL Metro Area",172297,99495,99317,95091,4226,178,72802,19300,2019
"Davenport-Moline-Rock Island, IA-IL Metro Area",303411,192260,191929,182981,8948,331,111151,19340,2019
"Dayton, TN Micro Area",25908,14295,14295,13076,1219,0,11613,19420,2019
"Dayton-Kettering, OH Metro Area",648027,404211,400024,376090,23934,4187,243816,19430,2019
"Decatur, AL Metro Area",121706,67880,67818,64348,3470,62,53826,19460,2019
"Decatur, IL Metro Area",84466,50375,50321,46487,3834,54,34091,19500,2019
"Dothan, AL Metro Area",118593,65886,65653,61588,4065,233,52707,20020,2019
"Douglas, GA Micro Area",39962,21157,21131,20152,979,26,18805,20060,2019
"Dover, DE Metro Area",140381,87028,84431,79883,4548,2597,53353,20100,2019
"Dublin, GA Micro Area",50426,25508,25491,23859,1632,17,24918,20140,2019
"DuBois, PA Micro Area",66818,36364,36347,34016,2331,17,30454,20180,2019
"Dubuque, IA Metro Area",77469,52649,52569,50533,2036,80,24820,20220,2019
"Duluth, MN-WI Metro Area",239273,148927,148518,142268,6250,409,90346,20260,2019
"Dumas, TX Micro Area",15303,10431,10426,9903,523,5,4872,20300,2019
"Duncan, OK Micro Area",34693,19607,19564,18281,1283,43,15086,20340,2019
"Durango, CO Micro Area",46079,30586,30582,29339,1243,4,15493,20420,2019
"Durant, OK Micro Area",36767,21063,21063,19896,1167,0,15704,20460,2019
"Durham-Chapel Hill, NC Metro Area",511520,330262,329920,315063,14857,342,181258,20500,2019
"Dyersburg, TN Micro Area",29534,17383,17378,16273,1105,5,12151,20540,2019
"Eagle Pass, TX Micro Area",42051,23957,23935,21733,2202,22,18094,20580,2019
"Easton, MD Micro Area",31146,18390,18349,17732,617,41,12756,20660,2019
"East Stroudsburg, PA Metro Area",139279,86051,85955,80347,5608,96,53228,20700,2019
"Eau Claire, WI Metro Area",136177,91469,91345,88213,3132,124,44708,20740,2019
"Edwards, CO Micro Area",44064,34862,34775,34128,647,87,9202,20780,2019
"Effingham, IL Micro Area",26897,17775,17770,17279,491,5,9122,20820,2019
"El Campo, TX Micro Area",31992,19113,19113,18127,986,0,12879,20900,2019
"El Centro, CA Metro Area",134294,70423,69998,60074,9924,425,63871,20940,2019
"El Dorado, AR Micro Area",30812,16405,16405,15590,815,0,14407,20980,2019
"Elizabeth City, NC Micro Area",42618,24089,23349,21800,1549,740,18529,21020,2019
"Elizabethtown-Fort Knox, KY Metro Area",118849,74095,70304,66294,4010,3791,44754,21060,2019
"Elk City, OK Micro Area",17169,9036,9036,8738,298,0,8133,21120,2019
"Elkhart-Goshen, IN Metro Area",154257,101623,101602,97025,4577,21,52634,21140,2019
"Elkins, WV Micro Area",23994,12010,12010,11292,718,0,11984,21180,2019
"Elko, NV Micro Area",41050,28398,28382,27098,1284,16,12652,21220,2019
"Ellensburg, WA Micro Area",38863,23805,23707,22372,1335,98,15058,21260,2019
"Elmira, NY Metro Area",68786,39591,39553,37333,2220,38,29195,21300,2019
"El Paso, TX Metro Area",636038,394137,376307,353452,22855,17830,241901,21340,2019
"Emporia, KS Micro Area",28707,19521,19490,18441,1049,31,9186,21380,2019
"Enid, OK Metro Area",47877,30792,29687,28230,1457,1105,17085,21420,2019
"Enterprise, AL Micro Area",40755,24317,23241,21907,1334,1076,16438,21460,2019
"Erie, PA Metro Area",221516,134079,133827,126569,7258,252,87437,21500,2019
"Escanaba, MI Micro Area",29763,16426,16408,15578,830,18,13337,21540,2019
"Española, NM Micro Area",31098,15325,15307,14103,1204,18,15773,21580,2019
"Forrest City, AR Micro Area",20618,9148,9102,8542,560,46,11470,22620,2019
"Eufaula, AL-GA Micro Area",22507,10137,10137,9230,907,0,12370,21640,2019
"Eugene-Springfield, OR Metro Area",312236,186619,186417,173561,12856,202,125617,21660,2019
"Eureka-Arcata, CA Micro Area",112435,67323,67283,62030,5253,40,45112,21700,2019
"Evanston, WY Micro Area",15111,9936,9917,9294,623,19,5175,21740,2019
"Evansville, IN-KY Metro Area",252608,159687,159651,152732,6919,36,92921,21780,2019
"Fairbanks, AK Metro Area",77300,55445,48728,45538,3190,6717,21855,21820,2019
"Fairfield, IA Micro Area",15569,9695,9695,9052,643,0,5874,21840,2019
"Fairmont, MN Micro Area",15973,10324,10322,9910,412,2,5649,21860,2019
"Fairmont, WV Micro Area",46287,26344,26314,24737,1577,30,19943,21900,2019
"Fallon, NV Micro Area",19174,11112,10231,9620,611,881,8062,21980,2019
"Fort Morgan, CO Micro Area",21900,14232,14211,13632,579,21,7668,22820,2019
"Fort Payne, AL Micro Area",56091,30888,30858,29639,1219,30,25203,22840,2019
"Fort Polk South, LA Micro Area",38224,23239,17873,16340,1533,5366,14985,22860,2019
"Fort Smith, AR-OK Metro Area",196583,111832,111493,105937,5556,339,84751,22900,2019
"Fargo, ND-MN Metro Area",190598,142540,142035,138192,3843,505,48058,22020,2019
"Faribault-Northfield, MN Micro Area",53338,35498,35472,34116,1356,26,17840,22060,2019
"Farmington, MO Micro Area",54530,28743,28738,27298,1440,5,25787,22100,2019
"Farmington, NM Metro Area",96472,54679,54679,49924,4755,0,41793,22140,2019
"Fayetteville, NC Metro Area",400305,252532,216674,198826,17848,35858,147773,22180,2019
"Fayetteville-Springdale-Rogers, AR Metro Area",397202,257103,256929,247822,9107,174,140099,22220,2019
"Fergus Falls, MN Micro Area",47000,29491,29479,28566,913,12,17509,22260,2019
"Fernley, NV Micro Area",43982,24450,24387,22593,1794,63,19532,22280,2019
"Findlay, OH Micro Area",60861,40461,40396,38927,1469,65,20400,22300,2019
"Fitzgerald, GA Micro Area",13331,6566,6508,6130,378,58,6765,22340,2019
"Flagstaff, AZ Metro Area",115514,72432,72312,66820,5492,120,43082,22380,2019
"Flint, MI Metro Area",326434,190251,190128,172390,17738,123,136183,22420,2019
"Florence, SC Metro Area",163220,94611,94492,87618,6874,119,68609,22500,2019
"Florence-Muscle Shoals, AL Metro Area",120727,66288,66151,63119,3032,137,54439,22520,2019
"Fond du Lac, WI Metro Area",83183,55799,55791,53973,1818,8,27384,22540,2019
"Forest City, NC Micro Area",54469,28955,28912,26817,2095,43,25514,22580,2019
"Fort Leonard Wood, MO Micro Area",42235,29859,18633,17522,1111,11226,12376,22780,2019
"Fort Madison-Keokuk, IA-IL-MO Micro Area",47622,28691,28574,26819,1755,117,18931,22800,2019
"Fort Wayne, IN Metro Area",314023,209832,209673,199626,10047,159,104191,23060,2019
"Frankfort, IN Micro Area",24681,15794,15794,15183,611,0,8887,23140,2019
"Frankfort, KY Micro Area",58988,36829,36807,34992,1815,22,22159,23180,2019
"Fredericksburg, TX Micro Area",21875,12646,12627,12087,540,19,9229,23240,2019
"Freeport, IL Micro Area",36461,22554,22500,20922,1578,54,13907,23300,2019
"Fremont, NE Micro Area",28803,19310,19309,18444,865,1,9493,23340,2019
"Fremont, OH Micro Area",47268,29728,29693,28340,1353,35,17540,23380,2019
"Fresno, CA Metro Area",732804,447145,446387,407511,38876,758,285659,23420,2019
"Gadsden, AL Metro Area",83242,45161,45149,42650,2499,12,38081,23460,2019
"Gaffney, SC Micro Area",45362,24594,24594,23119,1475,0,20768,23500,2019
"Gainesville, FL Metro Area",270907,156523,156377,148148,8229,146,114384,23540,2019
"Gainesville, GA Metro Area",153831,97072,96934,93448,3486,138,56759,23580,2019
"Gainesville, TX Micro Area",31590,20211,20211,19303,908,0,11379,23620,2019
"Galesburg, IL Micro Area",41667,22273,22236,21091,1145,37,19394,23660,2019
"Gallup, NM Micro Area",53804,27598,27597,23730,3867,1,26206,23700,2019
"Garden City, KS Micro Area",29517,21104,21081,20275,806,23,8413,23780,2019
"Gardnerville Ranchos, NV Micro Area",40985,22401,22367,21421,946,34,18584,23820,2019
"Georgetown, SC Micro Area",51961,27076,27012,25080,1932,64,24885,23860,2019
"Gettysburg, PA Metro Area",84043,52918,52865,50873,1992,53,31125,23900,2019
"Gillette, WY Micro Area",46960,32410,32384,31247,1137,26,14550,23940,2019
"Glasgow, KY Micro Area",42720,24046,24037,22516,1521,9,18674,23980,2019
"Glens Falls, NY Metro Area",105523,64033,63935,61127,2808,98,41490,24020,2019
"Glenwood Springs, CO Micro Area",61130,45368,45352,43512,1840,16,15762,24060,2019
"Gloversville, NY Micro Area",43949,25982,25958,24632,1326,24,17967,24100,2019
"Goldsboro, NC Metro Area",97607,58902,55967,52287,3680,2935,38705,24140,2019
"Granbury, TX Micro Area",47445,25800,25784,24812,972,16,21645,24180,2019
"Grand Forks, ND-MN Metro Area",81720,57490,56166,54087,2079,1324,24230,24220,2019
"Grand Island, NE Metro Area",57661,40445,40398,38886,1512,47,17216,24260,2019
"Grand Junction, CO Metro Area",122073,75903,75855,70796,5059,48,46170,24300,2019
"Grand Rapids, MN Micro Area",36888,21005,20989,19911,1078,16,15883,24330,2019
"Grand Rapids-Kentwood, MI Metro Area",834582,564570,564187,540785,23402,383,270012,24340,2019
"Grants, NM Micro Area",21370,10685,10663,9202,1461,22,10685,24380,2019
"Grants Pass, OR Metro Area",71435,35044,35002,31985,3017,42,36391,24420,2019
"Great Bend, KS Micro Area",20859,13809,13809,13276,533,0,7050,24460,2019
"Great Falls, MT Metro Area",64975,40697,38376,36897,1479,2321,24278,24500,2019
"Greeley, CO Metro Area",233287,159185,159017,152572,6445,168,74102,24540,2019
"Green Bay, WI Metro Area",253732,173921,173881,168812,5069,40,79811,24580,2019
"Greeneville, TN Micro Area",57193,29984,29968,28541,1427,16,27209,24620,2019
"Greensboro-High Point, NC Metro Area",613000,380102,379674,358694,20980,428,232898,24660,2019
"Greensburg, IN Micro Area",20941,13773,13773,13247,526,0,7168,24700,2019
"Greenville, MS Micro Area",35361,18897,18863,16375,2488,34,16464,24740,2019
"Greenville, NC Metro Area",144334,91863,91552,84097,7455,311,52471,24780,2019
"Greenville, OH Micro Area",40635,25877,25825,24963,862,52,14758,24820,2019
"Greenville-Anderson, SC Metro Area",717455,445386,444799,423337,21462,587,272069,24860,2019
"Greenwood, MS Micro Area",30302,13866,13848,12764,1084,18,16436,24900,2019
"Greenwood, SC Micro Area",56078,32802,32757,30493,2264,45,23276,24940,2019
"Grenada, MS Micro Area",16756,8893,8893,8317,576,0,7863,24980,2019
"Guayama, PR Metro Area",62156,19817,19801,17471,2330,16,42339,25020,2019
"Gulfport-Biloxi, MS Metro Area",326959,197814,190443,174218,16225,7371,129145,25060,2019
"Guymon, OK Micro Area",15530,11087,11087,10787,300,0,4443,25100,2019
"Hagerstown-Martinsburg, MD-WV Metro Area",227204,140788,140396,132301,8095,392,86416,25180,2019
"Hailey, ID Micro Area",18862,13084,13084,12818,266,0,5778,25200,2019
"Hammond, LA Metro Area",102868,62437,62257,57761,4496,180,40431,25220,2019
"Hanford-Corcoran, CA Metro Area",113805,63270,58904,54408,4496,4366,50535,25260,2019
"Hannibal, MO Micro Area",30830,18877,18877,18007,870,0,11953,25300,2019
"Harrisburg-Carlisle, PA Metro Area",462513,302526,301495,289418,12077,1031,159987,25420,2019
"Harrison, AR Micro Area",35990,19942,19927,19052,875,15,16048,25460,2019
"Harrisonburg, VA Metro Area",110165,67877,67776,65195,2581,101,42288,25500,2019
"Hartford-East Hartford-Middletown, CT Metro Area",994434,656089,655109,618741,36368,980,338345,25540,2019
"Hastings, NE Micro Area",24968,16265,16265,15862,403,0,8703,25580,2019
"Hattiesburg, MS Metro Area",131757,79846,79313,72202,7111,533,51911,25620,2019
"Hays, KS Micro Area",22974,16589,16584,16115,469,5,6385,25700,2019
"Heber, UT Micro Area",55029,39313,39275,38610,665,38,15716,25720,2019
"Helena, MT Micro Area",64529,41749,41573,40238,1335,176,22780,25740,2019
"Helena-West Helena, AR Micro Area",14245,7505,7505,6708,797,0,6740,25760,2019
"Henderson, NC Micro Area",35182,20904,20904,19153,1751,0,14278,25780,2019
"Hereford, TX Micro Area",13442,8786,8786,8450,336,0,4656,25820,2019
"Hermiston-Pendleton, OR Micro Area",68364,40164,40115,37335,2780,49,28200,25840,2019
"Hickory-Lenoir-Morganton, NC Metro Area",300005,178467,178277,166607,11670,190,121538,25860,2019
"Hillsdale, MI Micro Area",36966,20308,20295,19421,874,13,16658,25880,2019
"Hilo, HI Micro Area",161098,94121,93880,88098,5782,241,66977,25900,2019
"Hilton Head Island-Bluffton, SC Metro Area",177763,100432,94326,89289,5037,6106,77331,25940,2019
"Hinesville, GA Metro Area",59580,38711,32120,28794,3326,6591,20869,25980,2019
"Hobbs, NM Micro Area",51389,30848,30832,28876,1956,16,20541,26020,2019
"Holland, MI Micro Area",91234,57422,57393,55812,1581,29,33812,26090,2019
"Homosassa Springs, FL Metro Area",126312,50572,50572,46529,4043,0,75740,26140,2019
"Hood River, OR Micro Area",18267,12369,12369,11921,448,0,5898,26220,2019
"Hope, AR Micro Area",23507,13064,13064,12422,642,0,10443,26260,2019
"Hot Springs, AR Metro Area",81156,43613,43613,41221,2392,0,37543,26300,2019
"Houghton, MI Micro Area",31526,17042,17032,16097,935,10,14484,26340,2019
"Houma-Thibodaux, LA Metro Area",164017,96174,95948,89938,6010,226,67843,26380,2019
"Houston-The Woodlands-Sugar Land, TX Metro Area",5246127,3498642,3495441,3300904,194537,3201,1747485,26420,2019
"Hudson, NY Micro Area",51132,31242,31233,29694,1539,9,19890,26460,2019
"Huntingdon, PA Micro Area",38181,19727,19714,18615,1099,13,18454,26500,2019
"Huntington, IN Micro Area",29405,19129,19118,18586,532,11,10276,26540,2019
"Huntington-Ashland, WV-KY-OH Metro Area",293889,151699,151378,142800,8578,321,142190,26580,2019
"Huntsville, AL Metro Area",367971,230865,229455,217420,12035,1410,137106,26620,2019
"Huntsville, TX Micro Area",62588,27203,27172,26268,904,31,35385,26660,2019
"Huron, SD Micro Area",15524,10145,10122,9978,144,23,5379,26700,2019
"Hutchinson, KS Micro Area",50085,30759,30720,29344,1376,39,19326,26740,2019
"Hutchinson, MN Micro Area",28517,19630,19623,19062,561,7,8887,26780,2019
"Idaho Falls, ID Metro Area",104966,67601,67563,65094,2469,38,37365,26820,2019
"Indiana, PA Micro Area",71448,40079,40057,37420,2637,22,31369,26860,2019
"Indianapolis-Carmel-Anderson, IN Metro Area",1581911,1065342,1063782,1013100,50682,1560,516569,26900,2019
"Indianola, MS Micro Area",20884,9521,9517,8212,1305,4,11363,26940,2019
"Iowa City, IA Metro Area",139092,98871,98829,95436,3393,42,40221,26980,2019
"Iron Mountain, MI-WI Micro Area",24799,13835,13835,13180,655,0,10964,27020,2019
"Ithaca, NY Metro Area",89222,52901,52901,50882,2019,0,36321,27060,2019
"Jackson, MI Metro Area",128515,73068,72929,68695,4234,139,55447,27100,2019
"Jackson, MS Metro Area",470401,289199,288614,267672,20942,585,181202,27140,2019
"Jackson, OH Micro Area",25476,14714,14714,13553,1161,0,10762,27160,2019
"Jackson, TN Metro Area",142110,81424,81221,76806,4415,203,60686,27180,2019
"Jackson, WY-ID Micro Area",28062,20868,20868,20360,508,0,7194,27220,2019
"Jacksonville, FL Metro Area",1202645,768739,752570,710937,41633,16169,433906,27260,2019
"Jacksonville, IL Micro Area",32632,18962,18943,17884,1059,19,13670,27300,2019
"Jacksonville, NC Metro Area",151325,106967,70158,64064,6094,36809,44358,27340,2019
"Jacksonville, TX Micro Area",40263,21592,21592,20251,1341,0,18671,27380,2019
"Jamestown, ND Micro Area",17225,11035,11020,10663,357,15,6190,27420,2019
"Jamestown-Dunkirk-Fredonia, NY Micro Area",105397,59600,59566,55951,3615,34,45797,27460,2019
"Janesville-Beloit, WI Metro Area",128603,84311,84269,79931,4338,42,44292,27500,2019
