metro_area,total,in_labor_force,civilian_labor_force,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,metro_area_id,year
"Big Stone Gap, VA Micro Area",34856,16086,16076,14549,1527,10,18770,13720,2019
"Billings, MT Metro Area",142180,94196,94003,90874,3129,193,47984,13740,2019
"Binghamton, NY Metro Area",200034,116589,116538,109310,7228,51,83445,13780,2019
"Birmingham-Hoover, AL Metro Area",863519,528932,528083,498170,29913,849,334587,13820,2019
"Bismarck, ND Metro Area",101328,71970,71669,70138,1531,301,29358,13900,2019
"Blackfoot, ID Micro Area",33201,20744,20729,19732,997,15,12457,13940,2019
"Blacksburg-Christiansburg, VA Metro Area",143344,81170,80857,77138,3719,313,62174,13980,2019
"Bloomington, IL Metro Area",139526,91719,91627,88705,2922,92,47807,14010,2019
"Bloomington, IN Metro Area",142861,88067,87960,83182,4778,107,54794,14020,2019
"Bloomsburg-Berwick, PA Metro Area",70553,40813,40766,39125,1641,47,29740,14100,2019
"Bluefield, WV-VA Micro Area",89105,42548,42525,39595,2930,23,46557,14140,2019
"Blytheville, AR Micro Area",32523,19129,19129,17365,1764,0,13394,14180,2019
"Bogalusa, LA Micro Area",36677,19289,19268,17372,1896,21,17388,14220,2019
"Boise City, ID Metro Area",551501,357682,356358,340813,15545,1324,193819,14260,2019
"Bonham, TX Micro Area",28041,14551,14551,13998,553,0,13490,14300,2019
"Boone, NC Micro Area",48803,27868,27820,25748,2072,48,20935,14380,2019
"Borger, TX Micro Area",16623,9409,9409,8780,629,0,7214,14420,2019
"Boston-Cambridge-Newton, MA-NH Metro Area",3983774,2757573,2753186,2628020,125166,4387,1226201,14460,2019
"Boulder, CO Metro Area",267744,183623,183557,175849,7708,66,84121,14500,2019
"Bowling Green, KY Metro Area",139645,87595,87457,83133,4324,138,52050,14540,2019
"Bozeman, MT Micro Area",88657,64229,64174,62357,1817,55,24428,14580,2019
"Bradford, PA Micro Area",34282,19391,19378,18207,1171,13,14891,14620,2019
"Brainerd, MN Micro Area",75576,45199,45082,43495,1587,117,30377,14660,2019
"Branson, MO Micro Area",44803,26561,26555,25289,1266,6,18242,14700,2019
"Breckenridge, CO Micro Area",26256,20453,20453,19805,648,0,5803,14720,2019
"Bremerton-Silverdale-Port Orchard, WA Metro Area",217237,135347,120839,115237,5602,14508,81890,14740,2019
"Brenham, TX Micro Area",28602,16428,16428,15501,927,0,12174,14780,2019
"Brevard, NC Micro Area",28892,14944,14944,14055,889,0,13948,14820,2019
"Bridgeport-Stamford-Norwalk, CT Metro Area",755389,510807,510649,477144,33505,158,244582,14860,2019
"Brookhaven, MS Micro Area",27150,14444,14444,13394,1050,0,12706,15020,2019
"Brookings, OR Micro Area",19772,8337,8303,7617,686,34,11435,15060,2019
