date_id,full_date,day,day_name,day_of_week,week_of_year,month,month_name,quarter,year,decade,is_weekend,is_leap_year,is_year_start,period_label
62,2019-03-03,3,Sunday,7,9,3,March,Q1,2019,2010s,true,false,false,Pre-Pandemic
63,2019-03-04,4,Monday,1,10,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
64,2019-03-05,5,Tuesday,2,10,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
65,2019-03-06,6,Wednesday,3,10,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
66,2019-03-07,7,Thursday,4,10,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
67,2019-03-08,8,Friday,5,10,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
68,2019-03-09,9,Saturday,6,10,3,March,Q1,2019,2010s,true,false,false,Pre-Pandemic
69,2019-03-10,10,Sunday,7,10,3,March,Q1,2019,2010s,true,false,false,Pre-Pandemic
70,2019-03-11,11,Monday,1,11,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
71,2019-03-12,12,Tuesday,2,11,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
72,2019-03-13,13,Wednesday,3,11,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
73,2019-03-14,14,Thursday,4,11,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
74,2019-03-15,15,Friday,5,11,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
75,2019-03-16,16,Saturday,6,11,3,March,Q1,2019,2010s,true,false,false,Pre-Pandemic
76,2019-03-17,17,Sunday,7,11,3,March,Q1,2019,2010s,true,false,false,Pre-Pandemic
77,2019-03-18,18,Monday,1,12,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
78,2019-03-19,19,Tuesday,2,12,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
79,2019-03-20,20,Wednesday,3,12,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
80,2019-03-21,21,Thursday,4,12,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
81,2019-03-22,22,Friday,5,12,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
82,2019-03-23,23,Saturday,6,12,3,March,Q1,2019,2010s,true,false,false,Pre-Pandemic
83,2019-03-24,24,Sunday,7,12,3,March,Q1,2019,2010s,true,false,false,Pre-Pandemic
84,2019-03-25,25,Monday,1,13,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
85,2019-03-26,26,Tuesday,2,13,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
86,2019-03-27,27,Wednesday,3,13,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
87,2019-03-28,28,Thursday,4,13,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
88,2019-03-29,29,Friday,5,13,3,March,Q1,2019,2010s,false,false,false,Pre-Pandemic
89,2019-03-30,30,Saturday,6,13,3,March,Q1,2019,2010s,true,false,false,Pre-Pandemic
90,2019-03-31,31,Sunday,7,13,3,March,Q1,2019,2010s,true,false,false,Pre-Pandemic
91,2019-04-01,1,Monday,1,14,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
92,2019-04-02,2,Tuesday,2,14,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
93,2019-04-03,3,Wednesday,3,14,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
94,2019-04-04,4,Thursday,4,14,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
95,2019-04-05,5,Friday,5,14,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
96,2019-04-06,6,Saturday,6,14,4,April,Q2,2019,2010s,true,false,false,Pre-Pandemic
97,2019-04-07,7,Sunday,7,14,4,April,Q2,2019,2010s,true,false,false,Pre-Pandemic
98,2019-04-08,8,Monday,1,15,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
99,2019-04-09,9,Tuesday,2,15,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
100,2019-04-10,10,Wednesday,3,15,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
101,2019-04-11,11,Thursday,4,15,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
102,2019-04-12,12,Friday,5,15,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
103,2019-04-13,13,Saturday,6,15,4,April,Q2,2019,2010s,true,false,false,Pre-Pandemic
104,2019-04-14,14,Sunday,7,15,4,April,Q2,2019,2010s,true,false,false,Pre-Pandemic
105,2019-04-15,15,Monday,1,16,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
106,2019-04-16,16,Tuesday,2,16,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
107,2019-04-17,17,Wednesday,3,16,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
108,2019-04-18,18,Thursday,4,16,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
109,2019-04-19,19,Friday,5,16,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
110,2019-04-20,20,Saturday,6,16,4,April,Q2,2019,2010s,true,false,false,Pre-Pandemic
111,2019-04-21,21,Sunday,7,16,4,April,Q2,2019,2010s,true,false,false,Pre-Pandemic
112,2019-04-22,22,Monday,1,17,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
113,2019-04-23,23,Tuesday,2,17,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
114,2019-04-24,24,Wednesday,3,17,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
115,2019-04-25,25,Thursday,4,17,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
116,2019-04-26,26,Friday,5,17,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
117,2019-04-27,27,Saturday,6,17,4,April,Q2,2019,2010s,true,false,false,Pre-Pandemic
